date,title,text,rating
2023-01-10,Review cat-ear-beanie-5,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,4
2023-01-10,Review classic-leather-sneakers-6,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",4
2023-01-13,Review hiking-boots-outdoor-8,"These are decent boots for hiking, but they took a while to break in.",3
2023-01-15,Review kids-light-up-sneakers-7,These sneakers are worth every penny! They're durable and my kid loves them!,5
2023-01-15,Review men-running-shoes-7,Really like the design and they're great for running. They're also easy to clean.,4
2023-01-15,Review blue-energy-potion-1,The design is just epic! And the energy boost is real.,4
2023-01-23,Review women-sandals-8,"Nice sandals, but they run a bit small. I recommend ordering a size up.",4
2023-01-24,Review chocolate-candy-box-7,These chocolates are so tasty! Love the variety of flavors.,5
2023-02-10,Review red-potion-1,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,5
2023-02-12,Review teal-potion-1,The mint and citrus blend is very refreshing. And the bottle design is great too!,5
2023-02-12,Review dark-red-potion-1,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,4
2023-02-15,Review cat-ear-beanie-6,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,3
2023-02-15,Review chocolate-candy-box-8,"The box is nicely packaged, making it a great gift option.",5
2023-02-17,Review women-sandals-9,Stunning and comfortable. I wore them to a wedding and got so many compliments.,5
2023-02-18,Review dragon-potion-1,"The tropical flavor is really good, and the energy kick is powerful.",5
2023-02-20,Review men-running-shoes-8,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",5
2023-02-20,Review blue-energy-potion-2,Perfect for long gaming nights. Love the taste and the cool bottle design.,5
2023-02-20,Review kids-light-up-sneakers-8,Good quality and the lights are a nice touch. My kid wears them all the time.,4
2023-02-22,Review hiking-boots-outdoor-9,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",5
2023-02-25,Review classic-leather-sneakers-7,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",4
2023-03-01,Review classic-leather-sneakers-8,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,5
2023-03-05,Review kids-light-up-sneakers-9,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",2
2023-03-05,Review men-running-shoes-9,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",3
2023-03-10,Review cat-ear-beanie-7,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",4
2023-03-10,Review blue-energy-potion-3,"Finally, an energy drink for gamers! It's just like a mana potion.",5
2023-03-14,Review teal-potion-2,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",4
2023-03-14,Review dark-red-potion-2,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",5
2023-03-15,Review dragon-potion-2,Just what I need for long gaming sessions. Great flavor and energy boost.,5
2023-03-20,Review chocolate-candy-box-9,"The orange flavor wasn't my favorite, but the cherry ones are great.",4
2023-03-20,Review red-potion-2,"Not only does it look cool, but it tastes great and gives a good energy boost!",5
2023-03-24,Review hiking-boots-outdoor-10,"Good quality and comfortable, but a bit pricey.",4
2023-03-25,Review cat-ear-beanie-8,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",3
2023-03-25,Review women-sandals-10,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",4
2023-04-01,Review blue-energy-potion-4,Great taste and doesn't give me a crash afterwards.,4
2023-04-05,Review cat-ear-beanie-9,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,5
2023-04-05,Review dark-red-potion-3,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5
2023-04-07,Review classic-leather-sneakers-9,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,3
2023-04-07,Review teal-potion-3,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,5
2023-04-09,Review red-potion-3,It's like a health potion for gamers! The energy boost is spot on.,4
2023-04-10,Review kids-light-up-sneakers-10,Highly recommend! These shoes are great for evening walks. Kids love them!,5
2023-04-10,Review men-running-shoes-10,"Light, comfortable, and nice design. I'm buying another pair.",5
2023-04-11,Review dragon-potion-3,This potion is a game changer. Love the energy boost and the flavor.,5
2023-04-12,Review hiking-boots-outdoor-11,"The boots are durable, but the laces could be better quality.",4
2023-04-18,Review chocolate-candy-box-10,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",5
2023-04-25,Review kids-light-up-sneakers-11,"Great concept, but the sizing is a bit off. Order a size larger.",3
2023-04-25,Review blue-energy-potion-5,Really enjoyed the citrus flavor and the energy boost it gives.,5
2023-05-01,Review cat-ear-beanie-10,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",4
2023-05-01,Review hiking-boots-outdoor-12,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,5
2023-05-10,Review kids-light-up-sneakers-12,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,5
2023-05-12,Review dark-red-potion-4,The cherry cola flavor is a win. Keeps me energized and focused.,5
2023-05-15,Review classic-leather-sneakers-10,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",5
2023-05-15,Review blue-energy-potion-6,"Itâ€™s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",5
2023-05-16,Review dragon-potion-4,Excellent energy drink for gamers. The tropical flavor is refreshing.,4
2023-05-17,Review red-potion-4,Good flavor and keeps me energized. The bottle design is really fun.,5
2023-05-18,Review teal-potion-4,Unique flavor and great energy boost. It's the perfect gamer's drink!,5
